Group(s);Day;Lesson;Auditorium(s);Week;Professor(s);Department;Subject;Type;ID(s)
АСП42;6;4;25-703;2;асс.Лиманцев Алексей Алексеевич;117;Конструкции из дерева и пластмасс;пр.;2967
АШГР41;4;5;21-403;1;доц.Манжилевская Светлана Евгеньевна;118;Экономика архитектурных решений и строительства;л.;2867
АДАМТ21;2;2;26-003;1;доц.Аваков Артур Артурович;120;Специальные вопросы сопротивления материалов;лаб.;1417
БТТ12;5;3;01-424;1;доц.Рухленко Сергей Анатольевич;124;Информатика и информационно-коммуникационные технологии;л.;3239
АСЭУН41;3;5;21-125;2;доц.Маилян Александр Левонович;125;Основы технической эксплуатации объектов недвижимости;лаб.;6023
АДПГ22 АДПГ21;3;2;25-312;2;доц.Сайфутдинова Наталья Анатольевна;127;Математика;л.;3010
АДТТП43;2;4;26-813;1;доц.Поздняков Михаил Николаевич;128;Информационные технологии управления;л.;3368
АДАД31;4;3;26-610;2;асс.Акулов Владимир Владимирович;130;Водоотведение на транспортных сооружениях;пр.;22623
АДПГ32;5;3;21-303 21-304;2;доц.Кирильчик Лариса Федоровна/доц.Науменко Галина Андреевна;132;Метрология, стандартизация и сертификация;лаб.;2907/2913
ИФ41;6;4;22-502;2;ст.пр.Борисова Дина Владимировна;134;Организационное поведение на предприятии;пр.;1036
АДГК11;5;1;26-705;1;доц.Гейдор Виктория Станиславовна;135;Компьютерная графика в геодезическом и кадастровом производстве;л.;3299
ИЭБ31;5;3;21-311а;1;доц.Архипов Эдуард Леонидович;142;Экономическая безопасность;пр.;2980
АСП37;6;3;26-501;1;проф.Языева Светлана Борисовна;144;Конструкции гражданских и промышленных зданий;пр.;3276
АША41 АША42;2;4;24-301;2;доц.Людмирская Александра Владимировна;145;История архитектуры Северного Кавказа и Нижнего Дона;л.;3306
АШРР12;5;1;24-404 24-401;2;доц.Уздемир Дмитрий Мефодиевич/проф.Прищепа Александр Александрович;146;Рисунок;лаб.;22847/3297
МКОЗДК21;4;2;24-501;1;асс.Денисенко Альвина Михайловна;149;Компьютерная графика в дизайне;лаб.;24032
АШГР11;5;2;24-603 24-602;1;доц.Окунева Инга Владимировна/асс.Бутенко Екатерина Викторовна;150;Архитектурная колористика в градостроительстве;лаб.;22597/22729
АИТХОМ31;5;2;11-321;1;ст.пр.Жохов Роман Валерьевич;1;Художественная и компьютерная графика;пр.;20
АИССП41;4;4;22-302;1;ст.пр.Олатало Ольга Александровна;7;Управление проектами;пр.;1361
АИТЭПГ11;6;1;01-353;2;доц.Малышев Александр Викторович;10;История (история России, всеобщая история);пр.;3133
ИОЗЭ12 ИОЗЭ13 ИОЗЭ11;1;1;25-418;2;доц.Анциферова Наталья Александровна;12;Правовое обеспечение профессиональной деятельности;л.;1235
АДТТП33;1;1;08-218 08-217;2;доц.Сергеева Галина Александровна/асс.Павликов Александр Владимирович;18;Безопасность жизнедеятельности;лаб.;3250/6055
ПССР11;5;2;08-407;2;проф.Колмакова Валентина Васильевна;23;Деловая коммуникация;пр.;500
ИЭ46 ИЭ45 ИЭ44;1;4;21-315;1;доц.Хвоевская Лариса Ивановна;24;Экономическая дипломатия;л.;514
БТТ22;2;3;10-230;2;асс.Нижник Дарья Андреевна;25;Механика;пр.;22431
БТТ22;2;1;10-230 10-234;2;ст.пр.Дука Валентина Владимировна/доц.Арефьева Людмила Павловна;32;Материаловедение. Технология конструкционных материалов;лаб.;636/3521
АДПГ21 АДПГ22;3;1;25-315;2;доц.Витченко Марина Александровна;34;Физика;л.;3528
ИЭБ13;1;1;08-430а;2;асс.Кряжкова Екатерина Владимировна;35;Психология личности и группы;пр.;24976
АДТТП13;5;1;01-477 01-407;1;доц.Мицкая Мария Николаевна/доц.Астахова Людмила Михайловна;36;Химия;лаб.;3563/3561
ИТД41;6;4;25-217;2;ст.пр.Шевченко Елена Игоревна;37;Логистика поставок международных грузов;пр.;748
БТТ21;6;2;01-113 01-193;2;ст.пр.Гребенкин Роман Викторович/доц.Лимаренко Николай Владимирович;38;Электроника и электротехника;лаб.;6263/767
ПСТ21;5;2;02-404;1;преп.Осинцева Екатерина Сергеевна;43;Персональный имидж и карьерный менеджмент;пр.;23679
АСП12;1;2;21-117;1;ст.пр.Бажуткина Наталья Викторовна;44;Иностранный язык (немецкий);пр.;804
АИВВ21;1;1;21-208;2;доц.Сорокин Геннадий Вениаминович;46;Философия;л.;3136
ПСС21;5;2;08-610;1;преп.Полякова Ольга Владимировна;49;История современной зарубежной литературы;л.;23948
ЮОЗЮS31 ЮОЗЮS32 ЮОЗЮS33;3;3;25-316;2;доц.Москалева Татьяна Александровна;51;Административный процесс;л.;22684
БТТ22;3;2;10-237;2;асс.Желонкина Елена Сергеевна;65;Теплофизика;пр.;22733
АСП39;6;2;21-313 21-213;2;ст.пр.Колганов Владимир Петрович/ст.пр.Апрышкин Дмитрий Сергеевич;69;Вертикальный транспорт;лаб.;569/570
АСЭУН11;5;2;02-702;2;ст.пр.Шахбанова Наталия Анатольевна;76;Основы нравственности;л.;875
ИЭБ12;6;2;08-232 08-302;2;доц.Гробер Олег Владимирович/доц.Богачева Марина Николаевна;82;Информатика;лаб.;2935/2933
ЮОЗЮ41;2;4;25-313;1;доц.Верещагина Лилия Николаевна;85;Операции с недвижимостью;пр.;22622
ЮОЗЮ32;5;2;25-311;1;доц.Затона Роман Евгеньевич;86;Уголовный процесс;пр.;8770
ЮЮ15;3;1;04-305;2;доц.Рощина Евгения Валерьевна;90;Информационные технологии в юридической сфере;пр.;815
ЮЮ17;2;1;25-415;1;ст.пр.Арутюнян Мариэтта Рубеновна;92;Теория государства и права;пр.;22524
АИТК21;6;2;21-001;2;доц.Цурикова Елена Геннадиевна;101;Водоснабжение и водоотведение;пр.;3184
АСП25 АСП21 АСП26;4;2;23-211;1;доц.Парамонова Оксана Николаевна;104;Теплогазоснабжение и вентиляция;л.;3020
АИСК11;6;1;22-402;1;асс.Новосельцев Александр Владимирович;107;Геология;лаб.;2900
АИТЭМ11;1;3;11-223 11-207;1;асс.Федорова Алла Владимировна/ст.пр.Ковалева Наталья Вадимовна;108;Инженерная и компьютерная графика;пр.;3381/3385
АИПСМ41;2;4;23-209;2;доц.Каклюгин Александр Викторович;109;Технология безобжиговых строительных материалов и изделий;л.;1387
АСП13;1;2;25-704;1;доц.Высоковский Дмитрий Александрович;110;Теоретическая механика;пр.;3325
АША21 АША22;2;2;21-221;1;ст.пр.Ляпина Светлана Александровна;115;Архитектура зданий и сооружений;л.;3438
АШП31 АШП32;1;3;22-104;1;зав.к.Маилян Дмитрий Рафаэлович;116;Железобетонные и каменные конструкции;л.;2873
АСПп41 АСПп43 АСПп42;2;4;22-101;1;доц.Скуратов Сергей Викторович;117;Конструкции из дерева и пластмасс;л.;2973
АСП43;4;4;22-307;2;асс.Николаева Ольга Михайловна;118;Организация, планирование и управление в строительстве;пр.;2872
АСП27;4;3;25-407;1;доц.Стрельников Григорий Петрович;120;Специальные вопросы сопротивления материалов;пр.;1426
БТТ12;1;1;01-424 01-423;2;доц.Романенко Марина Витальевна/доц.Рухленко Сергей Анатольевич;124;Информатика и информационно-коммуникационные технологии;лаб.;3242/3239
АСЭУН21;4;2;26-201;1;доц.Белаш Владимир Валентинович;125;Инженерное оснащение и защита от опасных природных явлений;пр.;3259
АШГР11;5;3;21-403;1;доц.Чуб Елена Григорьевна;127;Математика;л.;3013
АДТТП31;2;3;26-813 26-812;1;ст.пр.Мирончук Александр Александрович/доц.Поздняков Михаил Николаевич;128;Организация движения;лаб.;3367/3368
АДАД41;5;4;26-611;2;доц.Строев Дмитрий Александрович;130;Дорожный сервис;л.;3119
АШП11;5;1;21-304 21-303;2;ст.пр.Гугуева Оксана Александровна/ст.пр.Калачева Наталья Александровна;132;Геодезия;лаб.;3080/2922
ИБ31_1;6;3;26-413;1;ст.пр.Пудеян Любовь Овагемовна;134;Лабораторный практикум по бухгалтерскому учету;лаб.;819
АДПГ11;2;2;25-407 25-507;2;асс.Шевцова Анна Геннадьевна/асс.Бурдова Дарья Викторовна;135;Почвоведение;лаб.;22445/23029
ИЭБ33 ИЭБ34 ИЭБ31;1;3;21-311а;1;доц.Изварина Наталия Юрьевна;142;Бухгалтерская (финансовая) отчетность;л.;2982
АСИП11;6;2;01-336;1;доц.Альков Марат Анварович;144;BIM-технологии в проектировании и строительстве;л.;23517
АШГР41;4;3;24-702;1;асс.Новичихина Анастасия Андреевна;145;История архитектуры Северного Кавказа и Нижнего Дона;пр.;24849
АШП21 АШП22;5;3;22-402;1;доц.Горячева Елена Анатольевна;146;Рисунок, живопись, пластика;л.;23000
МКДК41;1;4;24-502;2;ст.пр.Травин Константин Владимирович;149;Типографика;л.;24953
АШГР31;1;3;24-602;1;ст.пр.Кожевникова Екатерина Михайловна;150;Инженерные системы и оборудование;л.;3347
АИТЭМ11;3;1;11-323;2;ст.пр.Траутвейн Светлана Николаевна;1;Технический рисунок;лаб.;22
ИММ31;3;2;22-302;1;доц.Кольган Мария Владимировна;7;Маркетинговый анализ предприятий;пр.;127
АШГР21;2;2;02-402;1;доц.Жуковская Татьяна Юрьевна;10;Культурология;л.;3132
ЮОЗЮS23;3;2;25-418;2;доц.Чистова Виктория Александровна;12;Предпринимательское право;пр.;269
БТТ22;3;3;10-230 10-234;2;доц.Пустовая Лариса Евгеньевна/зав.к.Дымникова Ольга Валентиновна;18;Теория горения и взрыва;лаб.;370/361
ПСТ11;1;1;08-407;1;ст.пр.Сагирьянц Елена Сергеевна;23;Деловая коммуникация;пр.;497
ИОЗЭ11;1;2;25-118;2;доц.Яровая Наталья Сергеевна;24;Мировая экономика;пр.;503
БТТ22;3;1;10-230 10-234;2;асс.Шпрайзер Евгения Игоревна/асс.Нижник Дарья Андреевна;25;Механика;лаб.;559/22431
АДАД11;5;2;01-402 02-702;1;доц.Ларина Тамара Николаевна/доц.Брылева Марина Анатольевна;34;Физика;лаб.;3532/3526
АДГ21;2;2;08-430а;2;асс.Кряжкова Екатерина Владимировна;35;Психология личности и группы;пр.;24976
ИТД32;3;3;25-217;1;асс.Салман Олеся Федоровна;37;Организация и техника внешнеторговых операций;пр.;22170
АИССП21;2;2;01-292;1;доц.Лимаренко Николай Владимирович;38;Электротехника и электроника;л.;767
ПСС21;6;2;02-406;1;проф.Морозова Ольга Михайловна;43;Персональный имидж и карьерный менеджмент;пр.;789
АШП12;1;1;21-117;1;ст.пр.Бажуткина Наталья Викторовна;44;Иностранный язык (немецкий);пр.;804
ИЭ19;1;1;25-514;1;доц.Куликов Дмитрий Константинович;46;Философия;пр.;3588
ИЭ35;4;4;08-610;2;доц.Лихушина Марина Владимировна;49;Иностранный язык (второй), Немецкий;пр.;907
ЮЮ41;6;4;26-413;1;доц.Глущенко Дмитрий Владимирович;51;Административный процесс;пр.;22794
БТТ22;5;2;10-233 10-235;1;доц.Романов Виктор Викторович/асс.Желонкина Елена Сергеевна;65;Теплофизика;лаб.;602/22733
АДТТП43 АДТТП41 АДТТП42;1;4;21-313;1;доц.Котесова Анастасия Александровна;69;Транспортная энергетика;л.;3043
ЮОЗЮ11 ЮОЗЮ12;2;1;08-502;1;доц.Мекушкин Андрей Александрович;76;Основы нравственности;л.;1148
АДГК11;5;2;25-703 26-405а;1;доц.Прянишникова Любовь Ивановна/ст.пр.Развеева Ирина Федоровна;82;Практики работы с данными;лаб.;2951/2949
ЮЮ23;1;2;25-313;1;доц.Витвицкий Андрей Анатольевич;85;Право социального обеспечения;пр.;23364
ЮОЗЮS31;3;4;25-311;2;доц.Затона Роман Евгеньевич;86;Уголовный процесс;пр.;8770
ЮЮ12;1;1;01-165;1;доц.Рощина Евгения Валерьевна;90;Информационные технологии в юридической сфере;пр.;815
ЮЮ14;1;1;25-415;2;ст.пр.Арутюнян Мариэтта Рубеновна;92;Теория государства и права;пр.;22524
АИВВ31;6;4;22-205;1;асс.Шаркова Марина Викторовна;101;Водоснабжение;лаб.;3128
АСП22 АСП23 АСП24;6;2;23-124;2;доц.Тихомиров Алексей Леонидович;104;Теплогазоснабжение и вентиляция;л.;3179
АСПп42 АСПп43 АСПп41;2;3;22-401;1;доц.Акопян Александр Феликсович;107;Основания и фундаменты;л.;2896
АИМК11;6;1;01-445 01-444;2;асс.Федорова Алла Владимировна/асс.Пашян Джульетта Араратовна;108;Инженерная и компьютерная графика;пр.;3381/22100
АИТХОМ31;1;3;23-214;2;асс.Божко Юлия Александровна;109;Реконструкция и реставрация архитектурного наследия;пр.;22447
АССУ33;6;3;25-710;1;ст.пр.Савельева Нина Александровна;110;Строительная механика;пр.;3330
АША31 АША32;3;3;24-701;1;проф.Шаталов Александр Анатольевич;115;Комплексные исследования и предпроектный анализ в архитектуре;л.;24000
АСП44;2;4;21-223;1;доц.Аксенов Николай Борисович;116;САПР конструкций зданий и сооружений;лаб.;2876
АСПп42;2;5;22-402;1;проф.Журавлев Александр Александрович;117;Спецкурс по кафедре МДиПК;пр.;2962
АССУ52;4;5;26-411;2;доц.Цапко Константин Александрович;118;Экономика строительства;пр.;2869
АСП21;4;1;21-211 21-221;1;доц.Кадомцева Елена Эдуардовна/доц.Еремин Виктор Дмитриевич;120;Специальные вопросы сопротивления материалов;лаб.;2843/3025
АСЭУН31 АСЭУН32;5;4;26-201;2;доц.Томашук Елена Александровна;125;Экономика строительства;л.;3287
ИЭБ12 ИЭБ11;3;1;25-414;2;доц.Маринченко Елена Викторовна;127;Математика;л.;3008
АДТТП31;2;2;26-813 26-812;1;доц.Поздняков Михаил Николаевич/ст.пр.Проскурина Олеся Вячеславовна;128;Транспортное планирование;лаб.;3368/3369
АДАД41;5;5;26-611;2;доц.Саенко Сергей Сергеевич;130;Механизация работ по ремонту и содержанию автомобильных дорог;пр.;3107
АДГ21;1;2;21-304;1;ст.пр.Яговкина Елена Николаевна;132;Геодезия;л.;2914
ИФ41;6;3;22-502;2;ст.пр.Борисова Дина Владимировна;134;Организационное поведение на предприятии;л.;1036
АДПГ11 АДПГ12;1;1;26-713;1;доц.Тихонова Ксения Владимировна;135;Основы правового обеспечения кадастровых, геодезических и землеустроительных работ;л.;3300
ИЭБ42;1;4;21-311а;2;доц.Казанцева Светлана Юрьевна;142;Методология и практика обеспечения экономической безопасности хозяйствующих субъектов;пр.;2983
АСИП11;4;1;26-501;1;доц.Кашина Ирина Владимировна;144;История архитектуры;пр.;3275
АШРР21;4;1;25-516 21-211;1;ст.пр.Кошевой Алексей Игоревич/ст.пр.Лебедева Ольга Викторовна;145;Компьютерная графика для реставраторов;лаб.;3398/3399
МКДК21;5;2;24-401 24-402;2;ст.пр.Семергей Маргарита Александровна/проф.Лукьянов Рафаэль Ливериевич;146;Академическая живопись;лаб.;22915/3321
МКОЗДК11;1;1;24-502 24-501;2;асс.Савченко Ангелина Артуровна/асс.Шабанова Аделина Александровна;149;Пропедевтика;лаб.;24936/24916
АШП32 АШП31;1;2;22-504;1;доц.Евтушенко Иван Иванович;150;Технология проектирования гражданских зданий;л.;3354
ИМ21 ИМ23 ИМ22;5;2;22-302;2;доц.Медведева Юлия Юрьевна;7;Основы маркетинга;л.;128
ПСТ11;1;2;01-407;1;доц.Тикиджьян Руслан Геннадьевич;10;История (история России, всеобщая история);пр.;236
ЮЮ24;6;3;25-513;2;преп.Сиволапенко Елена Владимировна;12;Финансовое право;пр.;22553
АДПГ41;3;4;08-226;2;доц.Сергеева Галина Александровна;18;Защита в чрезвычайных ситуациях;л.;3250
ПСГ11;3;2;08-407;2;ст.пр.Сагирьянц Елена Сергеевна;23;Деловая коммуникация;л.;497
ИЭ25 ИЭ21 ИЭ22;5;2;21-315;2;доц.Яровая Наталья Сергеевна;24;Основы внешнеэкономической деятельности;л.;503
АДГК11;5;3;25-505;1;доц.Русакова Елизавета Борисовна;34;Физика;л.;3523
АДГК21;4;2;08-322;1;доц.Масляева Наталья Сергеевна;35;Психология личности и группы;л.;24023
АШРР22;4;1;25-217;1;ст.пр.Семиглазова Владислава Андреевна;37;Технологическое предпринимательство;пр.;1377
АСП27;4;1;25-407 25-507;1;ст.пр.Девяткин Алексей Константинович/доц.Дударев Константин Геннадиевич;38;Общая электротехника и электроснабжение;лаб.;5769/3568
ПСГ21;1;1;02-406;2;проф.Морозова Ольга Михайловна;43;Персональный имидж и карьерный менеджмент;пр.;789
ИЭ16;2;2;25-118;1;ст.пр.Бажуткина Наталья Викторовна;44;Иностранный язык (немецкий);пр.;804
АССУ21;5;2;25-512;1;доц.Эгильский Евгений Эдуардович;46;Философия;пр.;22154
ПСС21;5;1;08-610;1;преп.Полякова Ольга Владимировна;49;История современной зарубежной литературы;пр.;23948
ЮОЗЮ41;2;5;25-316;1;доц.Казанцева Ольга Геннадьевна;51;Правовые основы несостоятельности (банкротство);л.;6116
АСП35;6;1;21-313 21-213;2;ст.пр.Колганов Владимир Петрович/ст.пр.Апрышкин Дмитрий Сергеевич;69;Вертикальный транспорт;лаб.;569/570
