Group(s);Day;Lesson;Auditorium(s);Week;Professor(s);Department;Subject;Type;ID(s)
АИТЭМ11;1;1;11-321;1;асс.Дудник Марина Григорьевна;1;Живопись;лаб.;22432
ИММ31;3;3;22-302;1;доц.Хан Роксана Султановна;7;Производственный маркетинг;пр.;1366
АДАД11;5;1;02-402;1;доц.Малышев Александр Викторович;10;История (история России, всеобщая история);пр.;3133
ИЭ16;2;1;25-418;1;доц.Анциферова Наталья Александровна;12;Правовое обеспечение профессиональной деятельности;пр.;1235
АДТТП31;1;3;08-218 08-217;2;доц.Сергеева Галина Александровна/асс.Павликов Александр Владимирович;18;Безопасность жизнедеятельности;лаб.;3250/6055
ПССР11;5;1;08-407;2;проф.Колмакова Валентина Васильевна;23;Деловая коммуникация;л.;500
ИЭ21;6;2;25-517;1;ст.пр.Казакова Аминат Муратовна;24;Основы внешнеэкономической деятельности;пр.;512
БТТ22;6;2;01-020;1;доц.Котов Владимир Владимирович;25;Механика;л.;542
БТТ22;6;1;01-320 01-220б;1;ст.пр.Дука Валентина Владимировна/доц.Арефьева Людмила Павловна;32;Материаловедение. Технология конструкционных материалов;лаб.;636/3521
АСИП11;6;1;01-436;1;доц.Бугаян Ирина Асвадуровна;34;Физика;пр.;3527
ИЭБ12;2;1;08-430а;2;асс.Кряжкова Екатерина Владимировна;35;Психология личности и группы;пр.;24976
АДТТП13;6;1;01-485 01-483;2;доц.Мицкая Мария Николаевна/доц.Астахова Людмила Михайловна;36;Химия;лаб.;3563/3561
ИОЗМS11;6;1;25-217;2;доц.Хлопенко Оксана Валерьевна;37;Макроэкономика;л.;731
АИСК31;2;3;01-292;1;доц.Бондарь Игорь Михайлович;38;Общая электротехника и электроснабжение;л.;760
ПСГ21;1;2;02-406;2;проф.Морозова Ольга Михайловна;43;Персональный имидж и карьерный менеджмент;л.;789
ИМ13;6;1;10-505;2;ст.пр.Бажуткина Наталья Викторовна;44;Иностранный язык (немецкий);пр.;804
АДАД21;3;2;21-223;1;проф.Гетманов Иван Петрович;46;Философия;пр.;3581
ИЭ34;5;3;08-331;1;преп.Чернобай Марина Алексеевна;49;Иностранный язык (второй), Английский;пр.;23448
ЮЮ31;2;3;22-502;1;доц.Казанцева Ольга Геннадьевна;51;Арбитражный процесс;пр.;6116
БТТ22;6;3;01-320 01-043;1;доц.Романов Виктор Викторович/асс.Желонкина Елена Сергеевна;65;Теплофизика;лаб.;602/22733
АСП34;1;3;21-214 21-213;2;ст.пр.Колганов Владимир Петрович/ст.пр.Апрышкин Дмитрий Сергеевич;69;Вертикальный транспорт;лаб.;569/570
ИЭБ11 ИЭБ12;5;1;08-502;1;проф.Тер-Аракельянц Владимир Аракелович;76;Основы нравственности;л.;3672
АДПГ12;4;1;25-307 25-306;1;доц.Гробер Олег Владимирович/ст.пр.Развеева Ирина Федоровна;82;Практики работы с данными;лаб.;2935/2949
ЮЮ24 ЮЮ26 ЮЮ25;6;2;25-313;2;доц.Понежин Михаил Юрьевич;85;Информационное право;л.;23057
ЮОЗЮ33 ЮОЗЮ31 ЮОЗЮ32;5;3;25-305;1;доц.Петрашева Наталья Валерьевна;86;Уголовное право;л.;6236
ЮОЗЮ12;6;1;01-394;2;доц.Никишина Татьяна Геннадьевна;90;Информационные технологии в юридической сфере;пр.;1180
ЮОЗЮS33;2;3;25-415;1;доц.Артюхин Олег Александрович;92;Государственная служба в системе государственного управления;л.;1303
АИВВ31;6;3;22-202;1;доц.Долженко Лидия Алексеевна;101;Водоотведение и очистка сточных вод;л.;3156
АИТВ32 АИТВ31;4;3;23-220;2;доц.Букаров Николай Викторович;104;Газоснабжение;л.;3164
АСЭУН41;3;4;25-123;2;доц.Акопян Александр Феликсович;107;Основания и фундаменты;л.;2896
АДТТП13;6;2;01-445 01-458;2;асс.Пашян Джульетта Араратовна/ст.пр.Арцишевская Ольга Александровна;108;Инженерная и компьютерная графика;лаб.;22100/3378
АССУ31увц;5;3;23-209 23-207;1;доц.Сысоев Александр Константинович/асс.Ященко Роман Алексеевич;109;Металловедение и сварка;лаб.;1385/22442
АИПСМ11;5;1;25-710;1;доц.Языев Сердар Батырович;110;Теоретическая механика;пр.;3328
АША32;2;3;21-211;1;ст.пр.Ляпина Светлана Александровна;115;Макетирование;пр.;3438
АСП32;3;3;21-221;2;ст.пр.Ефименко Екатерина Андреевна;116;Железобетонные и каменные конструкции;пр.;2892
АСПп43;1;4;25-118 25-111;2;асс.Леонова Дарья Александровна/асс.Пирожникова Татьяна Леонидовна;117;Конструкции из дерева и пластмасс;лаб.;22586/6213
АСП34 АСП36 АСП35;4;3;26-411;1;доц.Макарцова Татьяна Николаевна;118;Ценообразование и сметное дело в строительстве;л.;1357
АССУ41увц;4;4;26-003;2;доц.Чепурненко Антон Сергеевич;120;Теория расчета пластин и оболочек;пр.;1427
БТТ12;5;1;01-424 01-423;1;доц.Романенко Марина Витальевна/доц.Рухленко Сергей Анатольевич;124;Информатика и информационно-коммуникационные технологии;лаб.;3242/3239
АСЭУН32 АСЭУН31;5;3;26-201;2;доц.Маилян Александр Левонович;125;Усиление и восстановление конструкций;л.;6023
БТТ12;5;2;01-404;1;доц.Данекянц Анжелика Генриковна;127;Математика;л.;3006
АДТТП31 АДТТП32 АДТТП33;4;3;26-805;2;доц.Негров Николай Семенович;128;Организация транспортных услуг и безопасность транспортного процесса;л.;3375
АДАД21;3;3;21-221;1;доц.Аннабердиев Александр Хаджи-Муратович;130;Производственные предприятия дорожного строительства;л.;3091
АСП13 АСП11 АСП12;1;1;21-304;1;ст.пр.Яговкина Елена Николаевна;132;Геодезия;л.;2914
ИМ23;2;2;21-310;2;доц.Еременко Вера Алексеевна;134;Учет и анализ: финансовый учет и анализ;л.;2952
АДОМ31;1;3;26-713;2;доц.Овчинникова Наталья Геннадьевна;135;Межевание земель;пр.;3296
ИЭБ33 ИЭБ32 ИЭБ34;6;3;21-311а;2;доц.Маилян Лия Дмитриевна;142;Гражданское право;л.;2887
АССУ41увц;4;3;26-501;2;зав.к.Евтушенко Александр Иванович;144;Международная нормативная база проектирования (Еврокоды);л.;3260
АШРР32 АШРР31;2;3;24-802;2;ст.пр.Комарова Светлана Евгеньевна;145;Методология архитектурного проектирования и реставрации;л.;3349
АШГР11;5;1;24-403 24-303;1;проф.Олешня Сергей Николаевич/доц.Писаренко Сергей Александрович;146;Рисунок;лаб.;3315/6030
МКОЗДК31;3;3;24-502;2;ст.пр.Кожина Наталия Васильевна;149;Проектирование в дизайне;лаб.;22689
АШГР41;4;4;24-603 24-602;1;доц.Окунева Инга Владимировна/доц.Гейер Владимир Александрович;150;Градостроительное проектирование;лаб.;22597/23213
АИТХОМ31;5;3;11-315/1;1;ст.пр.Жохов Роман Валерьевич;1;Художественная и компьютерная графика;л.;20
ИММ31;3;4;22-302;1;доц.Кольган Мария Владимировна;7;Инновационный маркетинг;л.;127
АСЭУН11;5;1;02-402;2;проф.Бондарев Виталий Александрович;10;История (история России, всеобщая история);пр.;22590
ИОЗМ11;4;1;25-418;1;доц.Шумилина Анастасия Борисовна;12;Правовое обеспечение профессиональной деятельности;л.;274
АДТТП32;1;2;08-218 08-217;2;асс.Павликов Александр Владимирович/доц.Сергеева Галина Александровна;18;Безопасность жизнедеятельности;лаб.;6055/3250
ПСГ11;3;1;08-407;2;ст.пр.Сагирьянц Елена Сергеевна;23;Деловая коммуникация;пр.;497
ИЭ22;2;2;25-112;2;доц.Краснокутский Павел Анатольевич;24;Статистика;пр.;508
БТТ22;6;2;01-323 01-223;2;асс.Шпрайзер Евгения Игоревна/асс.Нижник Дарья Андреевна;25;Механика;лаб.;559/22431
БТТ22;6;3;01-123;2;доц.Арефьева Людмила Павловна;32;Материаловедение. Технология конструкционных материалов;л.;3521
АИМК11;3;1;01-410;1;доц.Брылева Марина Анатольевна;34;Физика;лаб.;3526
ИЭБ12 ИЭБ14 ИЭБ11;6;1;08-322;2;доц.Гордынская Наталья Геннадьевна;35;Психология личности и группы;л.;24939
АДТТП13;6;3;01-489;2;доц.Мицкая Мария Николаевна;36;Химия;л.;3563
ИОЗГ11;1;1;25-217;2;доц.Юрьева Виктория Владимировна;37;Макроэкономика;л.;737
БТТ22 БТТ21;6;1;01-123;2;доц.Лимаренко Николай Владимирович;38;Электроника и электротехника;л.;767
АИТХОМ31;5;4;11-207;1;проф.Морозова Ольга Михайловна;43;Персональный имидж и карьерный менеджмент;пр.;789
ИМ11;3;1;10-505;1;ст.пр.Бажуткина Наталья Викторовна;44;Иностранный язык (немецкий);пр.;804
АШРР22 АШРР21;4;2;25-216;1;доц.Сорокин Геннадий Вениаминович;46;Философия;л.;3136
ИЭ35;4;3;08-610;2;преп.Чернобай Марина Алексеевна;49;Иностранный язык (второй), Английский;пр.;23448
ЮЮ33;1;3;25-410;2;доц.Казанцева Ольга Геннадьевна;51;Арбитражный процесс;пр.;6116
БТТ22;2;2;10-233;2;доц.Романов Виктор Викторович;65;Теплофизика;л.;602
АСП35 АСП39 АСП32;6;3;21-313;2;ст.пр.Апрышкин Дмитрий Сергеевич;69;Вертикальный транспорт;л.;570
АИПСМ11;5;2;25-410;1;доц.Овчаренко Диана Львовна;76;Основы нравственности;л.;23978
АДПГ11;2;1;25-307 25-306;2;доц.Гробер Олег Владимирович/доц.Богачева Марина Николаевна;82;Практики работы с данными;лаб.;2935/2933
ЮЮ31 ЮЮ32 ЮЮ34;5;3;25-313;2;доц.Ревякин Михаил Николаевич;85;Гражданское право;л.;24050
ЮОЗЮ42;4;4;25-311;1;проф.Кузина Светлана Ивановна;86;Криминология;пр.;5945
ЮЮ11 ЮЮ16 ЮЮ18;2;1;08-423;1;доц.Рощина Евгения Валерьевна;90;Информационные технологии в юридической сфере;л.;815
ЮЮ45 ЮЮ43 ЮЮ44;1;4;25-415;1;доц.Линкин Виктор Николаевич;92;Актуальные вопросы теории государства и права;л.;6154
АШП22 АШП21;5;2;22-202;1;доц.Цурикова Елена Геннадиевна;101;Водоснабжение и водоотведение;л.;3184
АИВВ21;1;2;21-509;2;доц.Ткачева Юлия Юрьевна;104;Теплогазоснабжение и вентиляция;лаб.;23516
АСП15;4;1;25-119;1;доц.Гридневский Александр Викторович;107;Геология;лаб.;2898
АИТЭМ11;1;2;11-223;1;ст.пр.Ковалева Наталья Вадимовна;108;Инженерная и компьютерная графика;лаб.;3385
АСП27;4;2;23-207 23-209;1;доц.Каклюгин Александр Викторович/доц.Наумов Алексей Александрович;109;Строительные материалы;лаб.;1387/1391
АССУ31увц;5;4;25-709;1;доц.Кравченко Галина Михайловна;110;Строительная механика;л.;3323
АША31;1;3;25-513;1;ст.пр.Харченко Лариса Николаевна;115;Теоретические основы устойчивой архитектуры;пр.;23999
АСЭУН32 АСЭУН31;5;2;21-208;2;доц.Коробкин Александр Петрович;116;Железобетонные и каменные конструкции;л.;2877
